Timestamp,¿Con qué genero te identificas?,¿Qué edad tenés?,¿Dónde vivís?,¿Cuál es el principal uso que le das a tu reloj inteligente?,¿Cuántos días utilizas alguna funcionalidad de tu reloj inteligente?,¿Cuál es la marca de tu reloj inteligente?,¿Cuáles son las funciones que utilizas en tu reloj inteligente?,¿Qué funciones utilizas para realizar un seguimiento con tu reloj inteligente?,¿Qué actividades deportivas seguís con tu reloj inteligente?
1/30/2024 23:12:44,Masculino,26 - 35,América Central y Sudamérica,"Más que nada por la hora , para no tener que estar viendo el celular siempre ",3,Xiaomi,Ver la hora,Distancia,Caminata
1/30/2024 23:13:55,Masculino,26 - 35,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,3,Generic,"Notificaciones, Mensajes de texto, Visualización de la hora, Música","Monitor de presión arterial, Calorias, Distancia, Monitor de ritmo cardíaco",Caminata
1/31/2024 0:06:48,Femenino,26 - 35,América Central y Sudamérica,Reloj,7,Samsung,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Llamadas telefónicas, Visualización de la hora","Seguimiento de múltiples deportes, Distancia",Caminata
1/31/2024 4:03:33,Masculino,46 - 55,Europa,Seguimiento de entrenamiento,7,Coros,"Seguimiento de múltiples deportes, Alarma, GPS, Notificaciones, Visualización de la hora, Seguimiento de la calidad del sueño y recuperación ","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Saturación de oxígeno ","Caminata, Correr, Ciclismo, Natación, Esquí, gimnasio "
1/31/2024 10:21:49,Masculino,46 - 55,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,2,Generic,"Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora","Monitor de presión arterial, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de agua bebida",Ciclismo
1/31/2024 12:46:33,Masculino,36 - 45,América Central y Sudamérica,Seguimiento de salud,3,Garmin,"Seguimiento de múltiples deportes, GPS, Visualización de la hora","Monitor de presión arterial, Altitud, Monitor de ritmo cardíaco, Monitor de temperatura","Caminata, Ciclismo"
1/31/2024 13:10:27,Femenino,36 - 45,América Central y Sudamérica,Seguimiento de entrenamiento,7,Xiaomi,"Seguimiento de múltiples deportes, Notificaciones, Visualización de la hora, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de agua bebida, Salud menstrual, Control de estrés","Caminata, Correr, Escalada, "
1/31/2024 13:13:47,Masculino,36 - 45,Europa,Acceso directo a las funcionalidades del celular,7,Xiaomi,"Alarma, Notificaciones, Visualización de la hora, Recordatorio de sedentarismo","Distancia, Monitor de ritmo cardíaco, Monitor de sueño","Caminata, Ciclismo"
1/31/2024 14:05:49,Femenino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Xiaomi,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Email, Música, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Monitor de presión arterial, Distancia, Monitor de ritmo cardíaco, Monitor de agua bebida","Caminata, Correr, Ciclismo, Strong Nation"
1/31/2024 15:55:45,Masculino,26 - 35,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,5,Samsung,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Llamadas telefónicas, Visualización de la hora","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de peso","Caminata, Correr, Escalada"
1/31/2024 17:00:25,Masculino,46 - 55,América Central y Sudamérica,Seguimiento de entrenamiento,6,Garmin,"Seguimiento de múltiples deportes, GPS, Visualización de la hora","Seguimiento de múltiples deportes, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco","Caminata, Ciclismo"
2/1/2024 8:53:16,Masculino,56 - 65,América Central y Sudamérica,idem salud,6,También tengo Suunto,"Seguimiento de múltiples deportes, Alarma, GPS, Visualización de la hora","Seguimiento de múltiples deportes, Monitor de presión arterial, Distancia, Altitud, Monitor de ritmo cardíaco","Ciclismo, Natación, ski montana"
2/1/2024 9:28:16,Femenino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,5,Samsung,Seguimiento de múltiples deportes,"Seguimiento de múltiples deportes, Distancia, Monitor de ritmo cardíaco, Monitor de sueño",Caminata
2/1/2024 9:58:27,Femenino,26 - 35,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Generic,"Alarma, Cámara, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Música","Monitor de presión arterial, Calorias, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Salud menstrual",Caminata
2/1/2024 12:20:37,Femenino,36 - 45,Europa,Acceso directo a las funcionalidades del celular,7,Xiaomi,"Alarma, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora","Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Salud menstrual",Pasos
2/2/2024 2:53:34,Femenino,36 - 45,Europa,Seguimiento de entrenamiento,1,Garmin,"Seguimiento de múltiples deportes, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Email, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Calorias, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Control de estrés","Caminata, Correr"
2/2/2024 3:08:08,Femenino,36 - 45,Europa,Seguimiento de entrenamiento,7,Huawei,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Visualización de la hora, Control de voz","Seguimiento de múltiples deportes, Distancia, Altitud, Monitor de ritmo cardíaco, Monitor de sueño, Control de estrés","Caminata, Correr, Patinar "
2/3/2024 12:05:22,Femenino,46 - 55,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Google,"Alarma, Cámara, GPS, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Email, Música, Recordatorio de sedentarismo, Botón SOS","Monitor de presión arterial, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de agua bebida, Monitor de peso, Control de estrés, Monitor de temperatura",Caminata
