Timestamp,¿Con qué genero te identificas?,¿Qué edad tenés?,¿Dónde vivís?,¿Cuál es el principal uso que le das a tu reloj inteligente?,¿Cuántos días utilizas alguna funcionalidad de tu reloj inteligente?,¿Cuál es la marca de tu reloj inteligente?,¿Cuáles son las funciones que utilizas en tu reloj inteligente?,¿Qué funciones utilizas para realizar un seguimiento con tu reloj inteligente?,¿Qué actividades deportivas seguís con tu reloj inteligente?
1/27/2024 0:43:00,Femenino,36 - 45,América Central y Sudamérica,Seguimiento de salud,7,Xiaomi,"Seguimiento de múltiples deportes, Alarma, Visualización de la hora, Recordatorio de sedentarismo","Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Salud menstrual, Monitor de peso, Control de estrés","Caminata, Correr"
1/27/2024 10:51:06,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,2,Samsung,"Alarma, Notificaciones, Recordatorio de sedentarismo, Control de voz",Distancia,Caminata
1/27/2024 12:14:09,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,4,Xiaomi,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Visualización de la hora, Email, Slack","Seguimiento de múltiples deportes, Distancia, Monitor de ritmo cardíaco, Monitor de sueño","Ciclismo, Natación"
1/29/2024 14:53:16,Femenino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,4,Apple,"Alarma, Notificaciones, Visualización de la hora, Música, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Distancia, Monitor de ritmo cardíaco","Correr, Entrenamiento de fuerza"
1/29/2024 15:14:46,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,0,Apple,"Alarma, GPS, Notificaciones, Visualización de la hora, Email, Control de voz","Monitor de presión arterial, Monitor de ritmo cardíaco",
1/29/2024 21:11:48,Femenino,26 - 35,América Central y Sudamérica,Las dos primeras opciones ,7,Apple,"Seguimiento de múltiples deportes, Alarma, Notificaciones, Mensajes de texto, Visualización de la hora, Email, Recordatorio de sedentarismo","Seguimiento de múltiples deportes, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de agua bebida, Salud menstrual","Caminata, Funcional, pilates "
1/30/2024 10:21:00,Femenino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Samsung,Llamadas telefónicas,Monitor de ritmo cardíaco,Caminata
1/30/2024 10:26:22,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Xiaomi,"GPS, Notificaciones, Visualización de la hora",Distancia,Correr
1/30/2024 10:27:03,Masculino,26 - 35,América Central y Sudamérica,Seguimiento de entrenamiento,4,Garmin,"Seguimiento de múltiples deportes, GPS, Notificaciones, Música","Seguimiento de múltiples deportes, Calorias, Distancia, Monitor de ritmo cardíaco, Monitor de sueño, Monitor de agua bebida, Control de estrés","Correr, Ciclismo"
1/30/2024 10:31:04,Masculino,36 - 45,América Central y Sudamérica,Acceso directo a las funcionalidades del celular,7,Apple,"Seguimiento de múltiples deportes, Alarma, Cámara, Notificaciones, Llamadas telefónicas, Mensajes de texto, Visualización de la hora, Pagos sin contacto, Música, Control de voz","Seguimiento de múltiples deportes, Monitor de presión arterial, Calorias, Monitor de ritmo cardíaco, Monitor de temperatura","Caminata, Ciclismo"
